algorithm,evaluations,iterations,accepted_moves,objective
first_improvement,5556,149,149,8704113.0
first_improvement,5578,150,150,8704112.0
first_improvement,5663,151,151,8604211.0
first_improvement,5714,152,152,8604205.0
first_improvement,5826,153,153,8604148.0
first_improvement,6078,154,154,8604144.0
first_improvement,6307,155,155,8504118.0
first_improvement,6443,156,156,8504109.0
first_improvement,6444,157,157,8504099.0
first_improvement,6508,158,158,8404107.0
first_improvement,6594,159,159,8404068.0
first_improvement,6599,160,160,8304106.0
first_improvement,6608,161,161,8304097.0
first_improvement,6867,162,162,8304078.0
first_improvement,6995,163,163,8204101.0
first_improvement,7047,164,164,8204078.0
first_improvement,7280,165,165,8204077.0
first_improvement,7281,166,166,8204065.0
first_improvement,7318,167,167,8104100.0
first_improvement,7396,168,168,8004099.0
first_improvement,7572,169,169,8004098.0
first_improvement,7624,170,170,8004060.0
first_improvement,7634,171,171,8004046.0
first_improvement,7681,172,172,7904082.0
first_improvement,7723,173,173,7904069.0
first_improvement,7803,174,174,7804131.0
first_improvement,7956,175,175,7804105.0
first_improvement,8181,176,176,7804104.0
first_improvement,8627,177,177,7804084.0
first_improvement,8816,178,178,7804073.0
first_improvement,9111,179,179,7803978.0
first_improvement,9205,180,180,7703975.0
first_improvement,9230,181,181,7703945.0
first_improvement,9314,182,182,7703936.0
first_improvement,9520,183,183,7604007.0
first_improvement,9783,184,184,7603975.0
first_improvement,10037,185,185,7603972.0
first_improvement,10082,186,186,7603935.0
first_improvement,10112,187,187,7504014.0
first_improvement,10338,188,188,7503997.0
first_improvement,10807,189,189,7503969.0
first_improvement,10897,190,190,7503961.0
first_improvement,11075,191,191,7503960.0
first_improvement,11227,192,192,7404004.0
first_improvement,11429,193,193,7404000.0
first_improvement,11535,194,194,7403980.0
first_improvement,11684,195,195,7403960.0
first_improvement,12094,196,196,7403935.0
first_improvement,12411,197,197,7403910.0
first_improvement,12600,198,198,7403851.0
first_improvement,12958,199,199,7403838.0
first_improvement,13067,200,200,7403834.0
first_improvement,13462,201,201,7303857.0
first_improvement,13479,202,202,7303821.0
first_improvement,13839,203,203,7203873.0
first_improvement,13923,204,204,7203870.0
first_improvement,14842,205,205,7203848.0
first_improvement,14941,206,206,7203801.0
first_improvement,15272,207,207,7203794.0
first_improvement,15559,208,208,7103828.0
first_improvement,15854,209,209,7103807.0
first_improvement,16705,210,210,7003830.0
first_improvement,16725,211,211,7003828.0
first_improvement,16896,212,212,7003815.0
first_improvement,16905,213,213,7003804.0
first_improvement,16974,214,214,7003800.0
first_improvement,17637,215,215,7003771.0
first_improvement,18194,216,216,7003754.0
first_improvement,18627,217,217,7003745.0
first_improvement,18859,218,218,7003737.0
first_improvement,19499,219,219,6903894.0
first_improvement,19500,220,220,6903890.0
first_improvement,19566,221,221,6903883.0
first_improvement,19775,222,222,6903863.0
first_improvement,19877,223,223,6903855.0
first_improvement,19991,224,224,6903821.0
first_improvement,20000,225,224,6903821.0
best_improvement,1,0,0,15105067.0
best_improvement,9752,1,1,14704894.0
best_improvement,19507,2,2,14304761.0
best_improvement,20000,3,3,14004679.0
